Date,buy_hold,trend,voltgt,trend_voltgt
1873-07-01,0.003304886211512592,0.004608333333333333,0.003304886211512592,0.004608333333333333
1873-08-01,0.005365526492286943,0.0046,0.005365526492286943,0.0046
1873-09-01,-0.07105130784708236,0.004591666666666667,-0.07105130784708236,0.004591666666666667
1873-10-01,-0.08124546114742182,0.004583333333333333,-0.08124546114742182,0.004583333333333333
1873-11-01,-0.02928599840891022,0.004575,-0.02928599840891022,0.004575
1873-12-01,0.10086633663366329,0.004566666666666667,0.10086633663366329,0.004566666666666667
1874-01-01,0.06052036199095023,0.0045583333333333335,0.04887221917754381,0.0045583333333333335
1874-02-01,0.0359442060085835,0.004533333333333334,0.027581927050360326,0.004533333333333334
1874-03-01,-0.008854166666666607,-0.008854166666666607,-0.00509857359519927,-0.00509857359519927
1874-04-01,-0.021670190274841628,-0.021670190274841628,-0.014290756845291182,-0.014290756845291182
1874-05-01,-0.02010869565217377,-0.02010869565217377,-0.013054578954823627,-0.013054578954823627
1874-06-01,0.0016741071428569843,0.004416666666666667,0.0024706577589838343,0.004416666666666667
1874-07-01,0.006165919282511201,0.004391666666666666,0.0056510681647465736,0.004391666666666666
1874-08-01,0.00840807174887881,0.004366666666666667,0.007233429260350122,0.004366666666666667
1874-09-01,0.02181208053691286,0.004333333333333334,0.016720570961550635,0.004333333333333334
1874-10-01,0.0038546255506608507,0.004308333333333333,0.003954434372960245,0.004308333333333333
1874-11-01,0.01490066225165565,0.004283333333333333,0.014541679561346665,0.004283333333333333
1874-12-01,-0.000547045951860059,-0.000547045951860059,-0.000547045951860059,-0.000547045951860059
1875-01-01,0.006011380323054372,0.006011380323054372,0.006011380323054372,0.006011380323054372
1875-02-01,0.0037628487518357456,0.0037628487518357456,0.0037628487518357456,0.0037628487518357456
1875-03-01,0.01917770419426046,0.01917770419426046,0.01917770419426046,0.01917770419426046
1875-04-01,0.01888162672476401,0.01888162672476401,0.01888162672476401,0.01888162672476401
1875-05-01,-0.033019713261648875,-0.033019713261648875,-0.033019713261648875,-0.033019713261648875
1875-06-01,-0.014261744966442946,0.004058333333333333,-0.014261744966442946,0.004058333333333333
1875-07-01,0.008228691019786849,0.004025,0.008228691019786849,0.004025
1875-08-01,0.010440394836750189,0.003991666666666667,0.010440394836750189,0.003991666666666667
1875-09-01,-0.0032596371882086528,0.003958333333333334,-0.0032596371882086528,0.003958333333333334
1875-10-01,-0.010202135774218246,0.0039250000000000005,-0.010202135774218246,0.0039250000000000005
1875-11-01,0.022141472868217216,0.0038916666666666665,0.022141472868217216,0.0038916666666666665
1875-12-01,0.005720823798627039,0.0038583333333333334,0.005720823798627039,0.0038583333333333334
1876-01-01,0.026315789473684292,0.003825,0.026315789473684292,0.003825
1876-02-01,0.01905829596412545,0.01905829596412545,0.01905829596412545,0.01905829596412545
1876-03-01,0.0033185840707965486,0.0033185840707965486,0.0033185840707965486,0.0033185840707965486
1876-04-01,-0.032150776053215036,-0.032150776053215036,-0.032150776053215036,-0.032150776053215036
1876-05-01,-0.031105990783410142,0.0037833333333333334,-0.031105990783410142,0.0037833333333333334
1876-06-01,-0.0011961722488036397,0.003775,-0.0011961722488036397,0.003775
1876-07-01,-0.006024096385542244,0.0037666666666666664,-0.006024096385542244,0.0037666666666666664
1876-08-01,-0.035365853658536506,0.0037583333333333336,-0.035365853658536506,0.0037583333333333336
1876-09-01,-0.054707379134860123,0.00375,-0.054707379134860123,0.00375
1876-10-01,0.0013550135501354532,0.003741666666666667,0.0013550135501354532,0.003741666666666667
1876-11-01,-0.012261580381471404,0.0037249999999999996,-0.012261580381471404,0.0037249999999999996
1876-12-01,0.001388888888888884,0.0037166666666666667,0.001388888888888884,0.0037166666666666667
1877-01-01,-0.0016108007448789596,0.003708333333333334,-0.0016108007448789596,0.003708333333333334
1877-02-01,-0.052542253521126736,0.0037,-0.052542253521126736,0.0037
1877-03-01,-0.044099301397205526,0.0036916666666666664,-0.044099301397205526,0.0036916666666666664
1877-04-01,-0.06563354363827545,0.003683333333333333,-0.06563354363827545,0.003683333333333333
1877-05-01,0.007205215419501254,0.003675,0.007205215419501254,0.003675
1877-06-01,-0.06448412698412698,0.003666666666666667,-0.06448412698412698,0.003666666666666667
