tk,buy_hold_sharpe,buy_hold_dd,buy_hold_cagr,trend_sharpe,trend_dd,trend_cagr,voltgt_sharpe,voltgt_dd,voltgt_cagr,trend_voltgt_sharpe,trend_voltgt_dd,trend_voltgt_cagr
EOG,0.4597021602192803,-0.48940498389557485,0.09697699621542744,0.49519831095480465,-0.1913671938669781,0.06866387958266262,0.5368046693528554,-0.3007976552390108,0.06652408400509136,0.5201898040519454,-0.10976466159382303,0.043563264936217205
EQIX,0.6978471604416279,-0.32433491531327563,0.14187805044023039,0.5800074506259121,-0.21164220476847595,0.08970468502475337,0.6254651215411606,-0.1885762827851729,0.07863476497254984,0.5441297557735565,-0.13010782638992513,0.057225028154049395
EQR,0.11841540650891648,-0.30633158472611965,0.005079046691696787,0.21911539258362753,-0.2171805178452132,0.018255644544765692,0.0993736278109144,-0.2521193833510026,0.004458312059705483,0.20277345825145168,-0.1606814825289321,0.013514413044382945
EQT,-0.001131243659514926,-0.5661871813546963,-0.050845833945581065,-0.1869033052382711,-0.2932570748957847,-0.026419548583300534,-0.2948264357388372,-0.3902490886391903,-0.05205128339487275,-0.27826662428826826,-0.16719376423485943,-0.018662489181804354
ES,0.4769031248306322,-0.19485815602836953,0.06785395723317755,0.12405927755170759,-0.20546281911182007,0.007687028750132052,0.4788272996524584,-0.14166047914648283,0.05516217529708345,0.17290273677107948,-0.14830357296982266,0.011874728794245115
ESRX,0.3841541263619595,-0.3961522108843558,0.061113466954080486,-0.16699698588494208,-0.27666530035050085,-0.025918532260064464,0.06319621330224348,-0.34195253020295724,-0.0016448211622595021,-0.09048949764265904,-0.16637411992987083,-0.010531669917946296
ESS,0.4920681838883399,-0.2129845675222074,0.07492134819262453,0.013650088143284743,-0.4055750211014889,-0.006021636824872778,0.5156534816705008,-0.1526130173060085,0.06081195795564498,0.09528320192285741,-0.30025279395199844,0.004527564546508378
ETFC,1.1714687635584475,-0.35056179775280893,0.3621422586682148,0.7749808998157346,-0.23809872113810426,0.15441625528014358,1.3132222049318545,-0.16123591944167748,0.18882591284098038,0.9270450095946722,-0.1084108555721256,0.09804351649780862
ETN,0.39713214833063254,-0.4049597180261826,0.06746040114550245,-0.017756158991478546,-0.28662412254230496,-0.012586047790673183,-0.11670982233851267,-0.3739170532315177,-0.027036254533129633,-0.25378396946543835,-0.25407463386589246,-0.031864450149961865
ETR,0.22553251555674575,-0.3250329091706897,0.024555913283052178,0.07599318538730669,-0.2210814008365113,0.002510207963463351,0.3232758936510988,-0.21635731751453835,0.0340025814986229,0.11107981524924382,-0.16744442388934588,0.005707612946311613
EW,0.8763559622270649,-0.3286914963744233,0.2440025994832089,0.9556983094106795,-0.24653457195652928,0.22184845070300274,0.6820798422625254,-0.21848278154937806,0.11374245296124785,0.8016218467531493,-0.16701558200636013,0.11114783148249852
EXC,0.24987700750907543,-0.34092674087496677,0.030733343710792393,-0.058379872466394846,-0.20413767420861006,-0.016037562249784143,0.19722384675264415,-0.22515403107871845,0.01756889794909333,-0.03571718297010022,-0.15783414433443865,-0.007552163105064458
EXPD,0.46774738940381627,-0.18312040263259743,0.07481129822943311,-0.08639892158061196,-0.2793409616227326,-0.023176028493221756,0.4697478286704836,-0.14720391600304483,0.05708696964250359,-0.14563040515735623,-0.22152272640085646,-0.023093631722548302
EXPE,0.571230431502733,-0.33340616124098743,0.14547743633112464,0.32773456343011537,-0.310814906986255,0.05087923206051759,0.3915478697535292,-0.18509902124532052,0.052601894590873055,0.30936346576852475,-0.15648795608210508,0.030543193367250643
